id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
workday:drivetime:/job/1720-W-Rio-Salado-Pkwy-Tempe-AZ-85281/Data-Engineer-Intern--Summer-2027-_R16300,DriveTime,Database Engineering Intern (Summer 2027),Summer 2027,False,,Internship,,Software,"1720 W Rio Salado Pkwy Tempe, AZ 85281",unknown,,,Python; SQL; Azure; Snowflake,2026-09-03T00:00:00Z,date_only,2026-09-04T00:18:32Z,https://drivetime.wd1.myworkdayjobs.com/drivetime/job/1720-W-Rio-Salado-Pkwy-Tempe-AZ-85281/Data-Engineer-Intern--Summer-2027-_R16300
workday:drivetime:/job/1720-W-Rio-Salado-Pkwy-Tempe-AZ-85281/Software-Engineer-Intern--Summer-2027-_R16294,DriveTime,Software Engineering Intern (Summer 2027),Summer 2027,False,,Internship,,Software,"1720 W Rio Salado Pkwy Tempe, AZ 85281",unknown,,,Python; Java; C#; TypeScript; JavaScript; Node.js; Angular; HTML/CSS,2026-09-03T00:00:00Z,date_only,2026-09-04T00:18:32Z,https://drivetime.wd1.myworkdayjobs.com/drivetime/job/1720-W-Rio-Salado-Pkwy-Tempe-AZ-85281/Software-Engineer-Intern--Summer-2027-_R16294
workday:mastercard:/job/OFallon-Missouri/Site-Reliability-Engineering-Intern--Summer-2027---St-Louis--MO--US_R-287654,Mastercard,"Site Reliability Engineering Intern, Summer 2027 – St. Louis, MO, US",Summer 2027,False,,Internship,,Software,"O'Fallon, Missouri",unknown,,$25–$30/hr,Python; Bash; AWS; GCP; Azure; Linux,2026-09-03T00:00:00Z,date_only,2026-09-03T21:59:17Z,https://mastercard.wd1.myworkdayjobs.com/Campus/job/OFallon-Missouri/Site-Reliability-Engineering-Intern--Summer-2027---St-Louis--MO--US_R-287654
workday:momentive:/job/US-NY-Niskayuna/Summer-2027-Intern---Enterprise-Reporting---Analytics---Data-Science_R9807-1,Momentive,Summer 2027 Intern - Enterprise Reporting & Analytics - Data Science,Summer 2027,False,,Internship,,Data & ML/AI,US NY Niskayuna,unknown,44,,Python; SQL; LLMs; Snowflake; Tableau,2026-09-03T00:00:00Z,date_only,2026-09-03T11:24:20Z,https://momentive.wd1.myworkdayjobs.com/MC/job/US-NY-Niskayuna/Summer-2027-Intern---Enterprise-Reporting---Analytics---Data-Science_R9807-1
workday:momentive:/job/US-NY-Niskayuna/Summer-2027-Intern---Software-Development_R9756,Momentive,Summer 2027 Intern - Software Development,Summer 2027,False,,Internship,,Software,US NY Niskayuna,unknown,44,,Java; SQL; Git,2026-09-03T00:00:00Z,date_only,2026-09-03T11:24:20Z,https://momentive.wd1.myworkdayjobs.com/MC/job/US-NY-Niskayuna/Summer-2027-Intern---Software-Development_R9756
workday:motorolasolutions:/job/Plantation-FL/Android-Platform-Software-Engineering-Intern---Summer-2027_R68363,Motorola,Android Platform Software Engineering Intern - Summer 2027,Summer 2027,False,,Internship,,Software,"Plantation, FL, More...",citizens-only,,,Python; Java; C++; Linux,2026-09-03T00:00:00Z,date_only,2026-09-03T21:59:17Z,https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Plantation-FL/Android-Platform-Software-Engineering-Intern---Summer-2027_R68363
workday:premierinc:/job/Charlotte-NC/Data-Science-Intern_R0008481,Premier,Data Science Intern,Not stated,True,,Internship,,Data & ML/AI,"Charlotte, NC",unknown,24,,,2026-09-03T00:00:00Z,date_only,2026-09-03T21:59:17Z,https://premierinc.wd1.myworkdayjobs.com/External_Professional/job/Charlotte-NC/Data-Science-Intern_R0008481
workday:premierinc:/job/Charlotte-NC/Software-Engineer-Intern_R0008480,Premier,Software Engineer Intern,Not stated,True,,Internship,,Software,"Charlotte, NC",unknown,24,,JavaScript; React,2026-09-03T00:00:00Z,date_only,2026-09-03T21:59:17Z,https://premierinc.wd1.myworkdayjobs.com/External_Professional/job/Charlotte-NC/Software-Engineer-Intern_R0008480
workday:saabusa:/job/East-Syracuse-NY-Collamer/Software-Engineering-Co-Op--Summer-2027-_R-03237-1,Saab,Software Engineering Co-Op (Summer 2027),Summer 2027,False,,Co-op,,Software,"East Syracuse, NY (Collamer)",citizens-only,,$20.27–$22.3/hr,Python; Java; C++; JavaScript; SQL; HTML/CSS; Linux; Git,2026-09-03T00:00:00Z,date_only,2026-09-03T15:26:58Z,https://saabusa.wd1.myworkdayjobs.com/saab_careers/job/East-Syracuse-NY-Collamer/Software-Engineering-Co-Op--Summer-2027-_R-03237-1
workday:snc:/job/Dayton-OH/Software-Engineering-Intern--Summer-2027-_R0030754,Sierra Nevada Corporation,Software Engineering Intern (Summer 2027),Summer 2027,False,,Internship,,Software,"Dayton, OH",citizens-only,,,MATLAB,2026-09-03T00:00:00Z,date_only,2026-09-03T21:59:17Z,https://snc.wd1.myworkdayjobs.com/snc_external_career_site/job/Dayton-OH/Software-Engineering-Intern--Summer-2027-_R0030754
